Date,Open,High,Low,Close,Adj Close,Volume
2018-11-20,63.230000,64.029999,60.029999,60.790001,56.326618,3138400
2018-11-21,61.040001,61.150002,59.450001,60.090000,55.678017,2011200
2018-11-23,57.799999,59.130001,57.240002,58.770000,54.454937,592700
2018-11-26,59.779999,60.810001,59.389999,60.259998,55.835529,872200
2018-11-27,60.029999,61.360001,59.470001,59.770000,55.381512,903100
2018-11-28,60.029999,60.750000,58.590000,60.720001,56.261761,609600
2018-11-29,60.990002,61.669998,60.310001,61.150002,56.660191,847100
2018-11-30,60.400002,60.650002,58.970001,60.599998,56.150562,1834200
2018-12-03,62.939999,63.529999,61.270000,62.290001,57.716488,1709800
2018-12-04,62.200001,62.560001,60.299999,60.590000,56.141300,1014800
2018-12-06,59.000000,60.169998,58.080002,60.160000,55.742874,2179900
2018-12-07,62.150002,62.980000,60.389999,60.740002,56.280296,1821100
2018-12-10,59.959999,60.380001,58.209999,59.200001,54.853363,1303800
2018-12-11,60.950001,61.250000,59.400002,60.000000,55.594624,1658800
2018-12-12,60.830002,63.119999,60.830002,61.939999,57.392181,2296300
2018-12-13,61.580002,62.209999,60.220001,60.799999,56.335888,1474600
2018-12-14,60.200001,60.910000,58.180000,58.480000,54.186226,1001500
2018-12-17,58.419998,58.860001,56.099998,56.369999,52.231148,1586000
2018-12-18,56.349998,56.349998,53.660000,54.450001,50.452126,2392700
2018-12-19,54.669998,54.750000,50.619999,50.770000,47.042313,3210000
2018-12-20,49.820000,50.270000,46.549999,47.160000,43.697376,3958000
2018-12-21,46.680000,47.990002,45.900002,46.169998,42.780064,3536700
2018-12-24,45.439999,46.320000,44.759998,44.950001,41.649635,1004200
2018-12-26,45.900002,47.970001,44.560001,47.939999,44.420105,1749600
2018-12-27,46.730000,47.740002,45.799999,47.730000,44.225521,1893700
2018-12-28,48.080002,48.490002,46.900002,47.619999,44.123604,1748500
2018-12-31,47.910000,48.259998,47.070000,47.939999,44.420105,1373200
2019-01-02,47.169998,49.000000,46.049999,48.049999,44.522030,1540700
2019-01-03,48.099998,48.779999,46.090000,48.060001,44.531292,2372200
