Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,0.781250,0.781250,0.734375,0.765625,0.678997,30400
2001-01-03,0.761719,0.820313,0.671875,0.757813,0.672068,489200
2001-01-04,0.734375,0.750000,0.625000,0.640625,0.568140,598000
2001-01-05,0.671875,0.687500,0.609375,0.625000,0.554283,311200
2001-01-08,0.625000,0.640625,0.617188,0.625000,0.554283,231200
2001-01-09,0.578125,0.578125,0.468750,0.500000,0.443426,700800
2001-01-10,0.507813,0.515625,0.468750,0.500000,0.443426,1707200
2001-01-11,0.500000,0.515625,0.484375,0.507813,0.450355,690000
2001-01-12,0.507813,0.507813,0.468750,0.500000,0.443426,626800
2001-01-16,0.511719,0.515625,0.500000,0.500000,0.443426,495200
2001-01-17,0.554688,0.625000,0.500000,0.562500,0.498855,2553600
2001-01-18,0.570313,0.585938,0.500000,0.507813,0.450355,1965200
2001-01-19,0.515625,0.562500,0.507813,0.546875,0.484997,2114800
2001-01-22,0.636719,0.640625,0.562500,0.578125,0.512712,731600
2001-01-23,0.589844,0.593750,0.523438,0.546875,0.484997,337600
2001-01-24,0.527344,0.578125,0.523438,0.578125,0.512712,206000
2001-01-25,0.578125,0.578125,0.531250,0.531250,0.471140,106000
2001-01-26,0.531250,0.578125,0.531250,0.578125,0.512712,322800
2001-01-29,0.597656,0.597656,0.531250,0.539063,0.478069,39200
2001-01-30,0.562500,0.578125,0.562500,0.578125,0.512712,31600
2001-01-31,0.554688,0.578125,0.546875,0.562500,0.498855,520400
2001-02-01,0.574219,0.578125,0.546875,0.578125,0.512712,100000
2001-02-02,0.578125,0.578125,0.531250,0.546875,0.484997,56800
2001-02-05,0.531250,0.531250,0.507813,0.531250,0.471140,169600
2001-02-06,0.531250,0.546875,0.531250,0.531250,0.471140,56400
2001-02-07,0.531250,0.546875,0.500000,0.500000,0.443426,630000
2001-02-08,0.507813,0.531250,0.484375,0.500000,0.443426,338000
2001-02-09,0.500000,0.507813,0.468750,0.507813,0.450355,98400
2001-02-12,0.500000,0.531250,0.492188,0.500000,0.443426,109200
2001-02-13,0.515625,0.531250,0.492188,0.500000,0.443426,83600
2001-02-14,0.492188,0.500000,0.484375,0.500000,0.443426,68800
2001-02-15,0.515625,0.515625,0.492188,0.500000,0.443426,340800
2001-02-16,0.492188,0.492188,0.445313,0.468750,0.415712,758400
2001-02-20,0.476563,0.484375,0.460938,0.460938,0.408784,261600
2001-02-21,0.460938,0.468750,0.437500,0.453125,0.401855,296800
2001-02-22,0.468750,0.484375,0.460938,0.476563,0.422641,14800
2001-02-23,0.476563,0.476563,0.453125,0.468750,0.415712,177600
2001-02-26,0.484375,0.515625,0.468750,0.500000,0.443426,45200
2001-02-27,0.457031,0.476563,0.437500,0.468750,0.415712,206000
2001-02-28,0.464844,0.500000,0.464844,0.484375,0.429569,418400
2001-03-01,0.468750,0.500000,0.437500,0.492188,0.436498,592400
2001-03-02,0.492188,0.492188,0.460938,0.468750,0.415712,44800
2001-03-05,0.484375,0.500000,0.460938,0.460938,0.408784,294800
2001-03-06,0.460938,0.468750,0.460938,0.468750,0.415712,30000
2001-03-07,0.484375,0.484375,0.453125,0.484375,0.429569,3600
2001-03-08,0.468750,0.468750,0.390625,0.390625,0.346427,180400
2001-03-09,0.406250,0.421875,0.375000,0.390625,0.346427,81600
2001-03-12,0.375000,0.390625,0.375000,0.390625,0.346427,113200
2001-03-13,0.378906,0.406250,0.335938,0.351563,0.311784,182400
2001-03-14,0.343750,0.367188,0.343750,0.367188,0.325641,12400
2001-03-15,0.375000,0.375000,0.367188,0.367188,0.325641,25600
2001-03-16,0.375000,0.375000,0.312500,0.343750,0.304856,47200
2001-03-19,0.375000,0.390625,0.351563,0.375000,0.332570,64400
2001-03-20,0.351563,0.375000,0.312500,0.335938,0.297927,75200
2001-03-21,0.335938,0.335938,0.320313,0.328125,0.290998,76400
2001-03-22,0.312500,0.312500,0.296875,0.296875,0.263284,22800
2001-03-23,0.312500,0.312500,0.312500,0.312500,0.277141,17600
2001-03-26,0.328125,0.390625,0.328125,0.375000,0.332570,33200
2001-03-27,0.351563,0.351563,0.351563,0.351563,0.311784,3200
2001-03-28,0.320313,0.320313,0.265625,0.281250,0.249427,74800
2001-03-29,0.273438,0.312500,0.257813,0.273438,0.242499,229600
2001-03-30,0.281250,0.312500,0.250000,0.296875,0.263284,492400
2001-04-02,0.308594,0.308594,0.285156,0.296875,0.263284,121600
2001-04-03,0.312500,0.312500,0.289063,0.296875,0.263284,223600
2001-04-04,0.296875,0.312500,0.281250,0.296875,0.263284,240400
2001-04-05,0.296875,0.296875,0.289063,0.296875,0.263284,41200
2001-04-06,0.300781,0.300781,0.296875,0.296875,0.263284,11600
2001-04-09,0.302500,0.305000,0.295000,0.297500,0.263839,39200
2001-04-10,0.297500,0.300000,0.280000,0.297500,0.263839,329200
2001-04-11,0.300000,0.375000,0.300000,0.362500,0.321484,821200
2001-04-12,0.357500,0.387500,0.357500,0.365000,0.323701,720800
2001-04-16,0.367500,0.367500,0.362500,0.362500,0.321484,46800
2001-04-17,0.355000,0.355000,0.355000,0.355000,0.314833,400
2001-04-18,0.362500,0.387500,0.362500,0.362500,0.321484,188400
2001-04-19,0.355000,0.375000,0.350000,0.362500,0.321484,49600
2001-04-20,0.360000,0.362500,0.350000,0.350000,0.310398,24400
2001-04-23,0.362500,0.387500,0.362500,0.375000,0.332570,172000
2001-04-24,0.322500,0.370000,0.322500,0.370000,0.328135,30800
2001-04-25,0.375000,0.375000,0.347500,0.355000,0.314833,72400
2001-04-26,0.375000,0.387500,0.355000,0.387500,0.343655,84800
